ID,TITLE,LOCATION,SUMMARY
https://kr.indeed.com/viewjob?jk=e34ac1d69970e730,(기술기획) DevOps 플랫폼 개발자,성남 삼평동,"있는 분 · Docker 기반으로 서비스를 구성/운영한 경험이 있는 분 · Python, Java, Golang 중 하나 이상의 언어에 능숙한 분 · Linux 환경에서 서비스 개발/운영 경험이 있는 분 · 총 경력..."
https://kr.indeed.com/viewjob?jk=6c70ee2fc3122925,[NAVER Cloud] MySQL 데이터베이스 엔지니어 (DBA) 경력...,서울,"술이나 New Feature에 대해 관심이 많으신 분 - 기본적인 수준의 프로그래밍 (c, python, golang등)이 가능하신 분 [ 우대사항] - 대규모/대용량 DB 운영환경을 경험하신 분 - 끊임없이 공부하고 적극..."
https://kr.indeed.com/viewjob?jk=91aa3bd221ee815b,AI Service Planning/Business Development,서울,"Stacks [Back-end] Language: python, golang Python Framework: Django, Bottle [Front... Language: python, golang Python Framework..."
https://kr.indeed.com/viewjob?jk=eb96832ac48c9f81,[카카오 클라우드] 어플리케이션플랫폼(APAAS) 서버 개발자 모집,성남 판교역,"관심 있으신 분 Golang, Java 중 한 가지 언어를 능숙하게 사용할 수 있으신 분 하나 이상의 DBMS 사용 경험이 있으신 분 [우대사항] 서비스의 전체적인 아키텍처를 설계하실 수 있는 분 Golang 개발에 익숙..."
https://kr.indeed.com/viewjob?jk=bc449986728f7bdb,국내 대기업 - cloud 가상화 개발 경력자,서울,"RDP 등 Desktop 전송 프로토콜 분석 - C/C++, GoLang 등 개발 언어 가능자 - AWS / MS Azure / Citrix... 프로토콜 분석 - C/C++, GoLang 등 개발 언어 가능자 - AWS..."
https://kr.indeed.com/viewjob?jk=bb3f79a8ca7cfc2f,Backend golang 개발,성남 판교역,"채용제목 Backend golang 개발 회사소개 CAR 인포테인먼트 업무내용/자격요건 자격요건 - 기본 지식 : ssl, 네트워크 기본지식 필수 - Server language : golang(필수), Java..."
https://kr.indeed.com/viewjob?jk=8da5c72baf146123,Site Engineer (Seoul),서울,분을 찾고 있습니다. 지원자격 필수조건 Linux/Windows 시스템 능숙 C++/Python/ Golang 등 코드 컴파일 및 디버깅 경험 우대조건 물류관련 프로젝트 경험 CS 및 관련 학과 출신 PostgreSQL...
https://kr.indeed.com/viewjob?jk=68539861ea661845,영상보안 인공지능(AI)/컴퓨터비전[추가],서울 쌍림동,"Learning) [우대요건] - 병역 특례 신규, 이직 가능 - Golang 개발 경험 - 영상(MPEG), RTSP 관련 지식 - Docker등... 병역 특례 신규, 이직 가능 - Golang 개발 경험 - 영상(MPEG..."
https://kr.indeed.com/viewjob?jk=fb1e577c4ae5e817,영상보안 개발자,서울 충무로역,"10년 이상 - C/C++, Golang, FFMPEG - 영상처리 관련... 력서 자격요건 - 대졸이상 - 경력: 10년 이상 - C/C++, Golang, FFMPEG - 영상처리 관련 지식 - 개발환경 : 리눅스 - 멀티..."
https://kr.indeed.com/viewjob?jk=f86fdfddd2f48e73,cloud 가상화 개발 경력자,서울,"및 Hypervisor에 대한 이해 - SPICE/RDP 등 Desktop 전송 프로토콜 분석 - C/C++, GoLang 등 개발 언어 가능자 - AWS / MS Azure / Citrix / VMware / Google..."
